Result for strategy E0V1E
=============================================================== BACKTESTING REPORT ===============================================================
|          Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |      Avg Duration |   Win  Draw  Loss  Win% |
|---------------+-----------+----------------+----------------+-------------------+----------------+-------------------+-------------------------|
|      UMA/USDT |         9 |           3.18 |          28.60 |         20706.921 |        2070.69 |           0:54:00 |     9     0     0   100 |
|      MLN/USDT |         7 |           3.61 |          25.26 |         12520.852 |        1252.09 |           1:28:00 |     5     0     2  71.4 |
|     MOVR/USDT |         6 |           4.26 |          25.53 |          9853.961 |         985.40 |           0:38:00 |     6     0     0   100 |
|       OM/USDT |         6 |           1.92 |          11.50 |          8311.848 |         831.18 |           0:57:00 |     5     0     1  83.3 |
|      AMP/USDT |         8 |           3.01 |          24.06 |          7556.731 |         755.67 |           0:38:00 |     8     0     0   100 |
|      BSW/USDT |         6 |           1.66 |           9.93 |          7164.987 |         716.50 |           0:47:00 |     4     0     2  66.7 |
|      DIA/USDT |         5 |           0.72 |           3.59 |          6710.559 |         671.06 |           1:20:00 |     3     0     2  60.0 |
|      MOB/USDT |        14 |           1.10 |          15.37 |          6600.216 |         660.02 |           1:22:00 |    11     0     3  78.6 |
|      WRX/USDT |        12 |           3.15 |          37.85 |          6577.244 |         657.72 |           1:08:00 |    10     0     2  83.3 |
|      ERN/USDT |         3 |           3.04 |           9.13 |          6490.860 |         649.09 |           0:45:00 |     3     0     0   100 |
|     DATA/USDT |         4 |           2.20 |           8.80 |          5995.293 |         599.53 |           1:54:00 |     3     0     1  75.0 |
|       AI/USDT |         3 |           2.41 |           7.24 |          5268.070 |         526.81 |           0:28:00 |     3     0     0   100 |
|     API3/USDT |         4 |           1.70 |           6.79 |          5224.954 |         522.50 |          22:51:00 |     3     0     1  75.0 |
|      OAX/USDT |        13 |           2.53 |          32.87 |          5221.503 |         522.15 |           2:34:00 |    12     0     1  92.3 |
|   BURGER/USDT |         3 |           4.51 |          13.53 |          4728.523 |         472.85 |           0:20:00 |     3     0     0   100 |
|     OSMO/USDT |         5 |           0.56 |           2.81 |          4414.669 |         441.47 |           2:19:00 |     3     0     2  60.0 |
|      UFT/USDT |         2 |           3.19 |           6.38 |          4359.564 |         435.96 |           0:35:00 |     2     0     0   100 |
|     KP3R/USDT |         6 |           1.91 |          11.47 |          4196.614 |         419.66 |           0:40:00 |     6     0     0   100 |
|    CREAM/USDT |         6 |           1.24 |           7.46 |          3794.150 |         379.42 |           1:17:00 |     5     0     1  83.3 |
|     BTTC/USDT |         3 |           5.37 |          16.11 |          3690.055 |         369.01 |           0:20:00 |     3     0     0   100 |
|     BAKE/USDT |         3 |           3.80 |          11.39 |          3679.602 |         367.96 |           1:33:00 |     2     0     1  66.7 |
|     POLS/USDT |        10 |           0.47 |           4.71 |          3576.388 |         357.64 |           7:48:00 |     6     0     4  60.0 |
|     TROY/USDT |         5 |           3.06 |          15.30 |          3569.521 |         356.95 |           0:44:00 |     5     0     0   100 |
|      REQ/USDT |         2 |           3.64 |           7.29 |          3391.390 |         339.14 |           0:20:00 |     2     0     0   100 |
|      FUN/USDT |         5 |           2.36 |          11.78 |          3380.854 |         338.09 |           0:48:00 |     5     0     0   100 |
|      BAR/USDT |         4 |           1.25 |           4.99 |          3312.399 |         331.24 |           0:59:00 |     3     0     1  75.0 |
|     VIDT/USDT |        18 |           2.43 |          43.66 |          3251.569 |         325.16 |           0:44:00 |    17     0     1  94.4 |
|     FARM/USDT |         3 |           3.06 |           9.19 |          3159.397 |         315.94 |           0:30:00 |     3     0     0   100 |
|     ASTR/USDT |         3 |           4.19 |          12.58 |          3137.615 |         313.76 |           0:50:00 |     3     0     0   100 |
|     POND/USDT |         3 |           2.61 |           7.84 |          2913.017 |         291.30 |           0:28:00 |     3     0     0   100 |
|      FOR/USDT |         5 |          -4.05 |         -20.25 |          2858.503 |         285.85 |          16:43:00 |     2     0     3  40.0 |
|      RLC/USDT |         1 |           2.57 |           2.57 |          2819.729 |         281.97 |           0:20:00 |     1     0     0   100 |
|     WING/USDT |         5 |           1.37 |           6.84 |          2698.732 |         269.87 |           1:52:00 |     2     0     3  40.0 |
|      VIC/USDT |         3 |           1.68 |           5.03 |          2653.324 |         265.33 |           0:20:00 |     3     0     0   100 |
|      FIS/USDT |         7 |           1.46 |          10.22 |          2651.870 |         265.19 |           0:36:00 |     7     0     0   100 |
|      RAY/USDT |        11 |           1.93 |          21.20 |          2582.144 |         258.21 |           1:33:00 |     9     0     2  81.8 |
|   SANTOS/USDT |         4 |           0.71 |           2.85 |          2576.746 |         257.67 |           1:35:00 |     3     0     1  75.0 |
|      FTT/USDT |         8 |           4.02 |          32.14 |          2384.760 |         238.48 |           0:26:00 |     8     0     0   100 |
|     DEXE/USDT |         9 |           3.00 |          27.04 |          2335.774 |         233.58 |           0:50:00 |     9     0     0   100 |
|      WIN/USDT |         7 |           0.51 |           3.58 |          2241.076 |         224.11 |           1:08:00 |     5     0     2  71.4 |
|      SYN/USDT |         4 |           1.01 |           4.04 |          2107.677 |         210.77 |           0:55:00 |     4     0     0   100 |
|      JTO/USDT |         1 |           7.30 |           7.30 |          2036.215 |         203.62 |           0:20:00 |     1     0     0   100 |
|     VTHO/USDT |         9 |           1.03 |           9.23 |          2024.726 |         202.47 |           2:08:00 |     7     0     2  77.8 |
| 1000SATS/USDT |         2 |           1.78 |           3.56 |          2016.710 |         201.67 |           0:22:00 |     2     0     0   100 |
|     PERP/USDT |         8 |           1.42 |          11.32 |          1968.984 |         196.90 |           1:21:00 |     6     0     2  75.0 |
|    FORTH/USDT |         8 |           1.34 |          10.69 |          1843.956 |         184.40 |           0:50:00 |     8     0     0   100 |
|      CKB/USDT |         4 |           2.05 |           8.21 |          1814.499 |         181.45 |           0:51:00 |     4     0     0   100 |
|      ACA/USDT |        13 |           1.53 |          19.84 |          1648.084 |         164.81 |           2:14:00 |     9     0     4  69.2 |
|      CLV/USDT |         3 |           1.83 |           5.50 |          1629.317 |         162.93 |           0:48:00 |     3     0     0   100 |
|     USTC/USDT |         6 |           1.53 |           9.18 |          1613.187 |         161.32 |           0:58:00 |     6     0     0   100 |
|     ALCX/USDT |         3 |           2.34 |           7.02 |          1509.611 |         150.96 |           0:32:00 |     3     0     0   100 |
|      PNT/USDT |        11 |           1.09 |          12.00 |          1333.615 |         133.36 |           1:17:00 |    10     0     1  90.9 |
|      JUV/USDT |         4 |           1.82 |           7.26 |          1296.806 |         129.68 |           3:09:00 |     3     0     1  75.0 |
|     PROM/USDT |         2 |           0.97 |           1.94 |          1290.831 |         129.08 |           0:38:00 |     2     0     0   100 |
|     DEGO/USDT |         3 |           2.47 |           7.41 |          1289.666 |         128.97 |           0:58:00 |     3     0     0   100 |
|      MDX/USDT |         4 |           1.59 |           6.34 |          1261.966 |         126.20 |           0:38:00 |     4     0     0   100 |
|       DF/USDT |         5 |           0.40 |           2.01 |          1224.752 |         122.48 |           2:51:00 |     4     0     1  80.0 |
|      AST/USDT |         5 |           1.47 |           7.34 |          1210.304 |         121.03 |           3:00:00 |     3     0     2  60.0 |
|       OG/USDT |        11 |          -2.09 |         -22.98 |          1193.669 |         119.37 |   2 days, 8:01:00 |     9     0     2  81.8 |
|     MEME/USDT |         2 |           2.70 |           5.40 |          1102.755 |         110.28 |           1:32:00 |     2     0     0   100 |
|   BADGER/USDT |         3 |           1.96 |           5.87 |          1100.120 |         110.01 |           1:43:00 |     2     0     1  66.7 |
|      XNO/USDT |         3 |          -5.24 |         -15.73 |          1082.875 |         108.29 |           1:15:00 |     2     0     1  66.7 |
|     OOKI/USDT |         7 |           0.24 |           1.67 |          1082.601 |         108.26 |   2 days, 3:40:00 |     6     0     1  85.7 |
|      SEI/USDT |         4 |           3.09 |          12.36 |          1038.470 |         103.85 |           0:21:00 |     4     0     0   100 |
|     BONK/USDT |         1 |           1.29 |           1.29 |          1019.098 |         101.91 |           0:10:00 |     1     0     0   100 |
|      SYS/USDT |         3 |           1.05 |           3.14 |           989.458 |          98.95 |           1:15:00 |     2     0     1  66.7 |
|     ROSE/USDT |         1 |           2.18 |           2.18 |           978.433 |          97.84 |           0:15:00 |     1     0     0   100 |
|     MBOX/USDT |         3 |          -7.64 |         -22.91 |           918.497 |          91.85 |           9:52:00 |     1     0     2  33.3 |
|      KDA/USDT |         1 |           1.95 |           1.95 |           874.844 |          87.48 |           0:40:00 |     1     0     0   100 |
|     NTRN/USDT |         2 |           1.40 |           2.80 |           843.526 |          84.35 |           1:12:00 |     2     0     0   100 |
|    BEAMX/USDT |         1 |           1.28 |           1.28 |           842.093 |          84.21 |           0:55:00 |     1     0     0   100 |
|      GAS/USDT |         5 |           1.33 |           6.63 |           776.306 |          77.63 |           0:42:00 |     5     0     0   100 |
|    VANRY/USDT |         1 |           2.14 |           2.14 |           774.273 |          77.43 |           0:35:00 |     1     0     0   100 |
|     BOND/USDT |         7 |           1.89 |          13.24 |           698.789 |          69.88 |           1:04:00 |     6     0     1  85.7 |
