Result for strategy E0V1E
=============================================================== BACKTESTING REPORT ===============================================================
|            Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|-----------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|       TROY/USDT |        18 |           3.87 |          69.63 |         21609.881 |        2160.99 |         0:52:00 |    17     0     1  94.4 |
|       PROS/USDT |        24 |           1.42 |          34.07 |          7835.644 |         783.56 |         2:04:00 |    19     0     5  79.2 |
|       UNFI/USDT |         9 |           2.64 |          23.76 |          7471.477 |         747.15 |         1:06:00 |     7     0     2  77.8 |
|        FTT/USDT |        24 |           1.84 |          44.17 |          5133.007 |         513.30 |         1:28:00 |    23     0     1  95.8 |
|     SANTOS/USDT |        12 |           2.83 |          33.97 |          4964.056 |         496.41 |         1:18:00 |    11     0     1  91.7 |
|        AST/USDT |         6 |           1.96 |          11.77 |          3853.047 |         385.30 |         2:05:00 |     5     0     1  83.3 |
|        DIA/USDT |         8 |           3.61 |          28.90 |          2950.322 |         295.03 |         0:41:00 |     8     0     0   100 |
|      NEIRO/USDT |         9 |           1.67 |          14.99 |          2896.788 |         289.68 |         4:19:00 |     9     0     0   100 |
|        SLF/USDT |         5 |           3.52 |          17.60 |          2884.051 |         288.41 |         1:35:00 |     5     0     0   100 |
|       RARE/USDT |        15 |           1.09 |          16.38 |          2785.088 |         278.51 |         2:35:00 |    14     0     1  93.3 |
|       BETA/USDT |        17 |           1.27 |          21.59 |          2448.269 |         244.83 |         1:26:00 |    14     0     3  82.4 |
|       FIDA/USDT |        11 |           2.27 |          24.95 |          2356.535 |         235.65 |         1:27:00 |    11     0     0   100 |
|      CHESS/USDT |         6 |           1.63 |           9.78 |          2091.176 |         209.12 |         0:28:00 |     6     0     0   100 |
|       WING/USDT |        10 |           1.78 |          17.79 |          2031.817 |         203.18 |         5:02:00 |     9     0     1  90.0 |
|      PIXEL/USDT |         7 |           2.15 |          15.05 |          1867.240 |         186.72 |         3:02:00 |     7     0     0   100 |
|        AMP/USDT |        12 |           2.76 |          33.10 |          1861.768 |         186.18 |         0:39:00 |    12     0     0   100 |
|        ATA/USDT |         1 |           6.79 |           6.79 |          1690.657 |         169.07 |         8:00:00 |     1     0     0   100 |
|        ASR/USDT |        14 |           2.52 |          35.29 |          1681.660 |         168.17 |         1:04:00 |    13     0     1  92.9 |
|       IRIS/USDT |         7 |           2.41 |          16.88 |          1543.891 |         154.39 |         0:56:00 |     7     0     0   100 |
|        CTK/USDT |        10 |           1.37 |          13.70 |          1514.327 |         151.43 |         1:46:00 |     9     0     1  90.0 |
|      VOXEL/USDT |         4 |           3.06 |          12.26 |          1508.651 |         150.87 |         0:34:00 |     3     0     1  75.0 |
|      CREAM/USDT |        12 |           3.19 |          38.33 |          1459.637 |         145.96 |         5:32:00 |    11     0     1  91.7 |
|        ATM/USDT |         9 |           2.15 |          19.35 |          1431.542 |         143.15 |         1:37:00 |     9     0     0   100 |
|        PDA/USDT |        12 |           2.19 |          26.31 |          1354.433 |         135.44 |         0:43:00 |    10     0     2  83.3 |
|        NOT/USDT |         7 |           1.80 |          12.57 |          1259.626 |         125.96 |         1:21:00 |     6     0     1  85.7 |
|       NULS/USDT |        19 |           1.09 |          20.62 |          1240.742 |         124.07 |         0:46:00 |    14     0     5  73.7 |
|     ALPACA/USDT |         5 |           1.82 |           9.09 |          1201.371 |         120.14 |         0:55:00 |     5     0     0   100 |
|       FARM/USDT |         8 |           2.92 |          23.39 |          1182.420 |         118.24 |         1:40:00 |     7     0     1  87.5 |
|       IDEX/USDT |         5 |           1.78 |           8.90 |          1073.919 |         107.39 |         0:41:00 |     5     0     0   100 |
|        FET/USDT |         4 |           3.86 |          15.42 |          1066.404 |         106.64 |         0:16:00 |     4     0     0   100 |
|       LINA/USDT |         2 |           2.19 |           4.38 |          1062.968 |         106.30 |         1:00:00 |     2     0     0   100 |
|      PORTO/USDT |         3 |           1.27 |           3.82 |          1014.704 |         101.47 |         2:55:00 |     3     0     0   100 |
|      AUDIO/USDT |         7 |           2.38 |          16.66 |          1013.240 |         101.32 |         0:54:00 |     7     0     0   100 |
|        KDA/USDT |         2 |           2.69 |           5.38 |           882.000 |          88.20 |         1:15:00 |     1     0     1  50.0 |
|        BSW/USDT |         4 |           1.44 |           5.78 |           822.070 |          82.21 |         0:44:00 |     3     0     1  75.0 |
|         BB/USDT |         5 |           2.08 |          10.38 |           799.094 |          79.91 |         0:41:00 |     5     0     0   100 |
|        APE/USDT |         2 |           1.61 |           3.22 |           757.334 |          75.73 |         1:05:00 |     2     0     0   100 |
|         IQ/USDT |         5 |           4.19 |          20.96 |           684.375 |          68.44 |         0:26:00 |     5     0     0   100 |
|     PEOPLE/USDT |        24 |           0.34 |           8.22 |           679.979 |          68.00 |         1:03:00 |    17     0     7  70.8 |
|         OM/USDT |        23 |           1.23 |          28.33 |           671.152 |          67.12 |         2:20:00 |    18     0     5  78.3 |
|      ALICE/USDT |         3 |           2.59 |           7.78 |           654.103 |          65.41 |         0:33:00 |     3     0     0   100 |
|       SAGA/USDT |         5 |           1.61 |           8.05 |           650.934 |          65.09 |         0:49:00 |     5     0     0   100 |
|        GLM/USDT |         6 |           1.77 |          10.61 |           639.625 |          63.96 |         0:52:00 |     6     0     0   100 |
|        XAI/USDT |        10 |           1.85 |          18.51 |           639.425 |          63.94 |         0:23:00 |    10     0     0   100 |
|         QI/USDT |         9 |           2.43 |          21.86 |           635.811 |          63.58 |         1:27:00 |     8     0     1  88.9 |
|       STPT/USDT |         2 |           2.08 |           4.16 |           634.354 |          63.44 |         0:30:00 |     2     0     0   100 |
|        SUN/USDT |         5 |           0.93 |           4.66 |           609.659 |          60.97 |         2:15:00 |     5     0     0   100 |
|      LAZIO/USDT |         3 |           1.40 |           4.20 |           601.476 |          60.15 |         3:55:00 |     2     0     1  66.7 |
|       DODO/USDT |         4 |           1.60 |           6.39 |           569.771 |          56.98 |         0:24:00 |     4     0     0   100 |
|       AKRO/USDT |         6 |           1.42 |           8.53 |           554.877 |          55.49 |         2:18:00 |     5     0     1  83.3 |
|       BONK/USDT |        12 |           1.76 |          21.07 |           551.896 |          55.19 |         0:18:00 |    11     0     1  91.7 |
|       TNSR/USDT |         4 |           2.08 |           8.30 |           545.227 |          54.52 |         1:28:00 |     4     0     0   100 |
|        SYN/USDT |        12 |           1.24 |          14.83 |           536.349 |          53.63 |         2:42:00 |    12     0     0   100 |
|        AMB/USDT |         5 |           1.12 |           5.61 |           486.611 |          48.66 |         1:06:00 |     5     0     0   100 |
|       BICO/USDT |         3 |           1.08 |           3.23 |           476.826 |          47.68 |         0:35:00 |     3     0     0   100 |
|        CLV/USDT |         7 |           1.80 |          12.63 |           468.336 |          46.83 |         0:39:00 |     7     0     0   100 |
|       MBOX/USDT |         3 |           1.65 |           4.96 |           466.736 |          46.67 |         0:20:00 |     3     0     0   100 |
|        PHA/USDT |         7 |           1.76 |          12.34 |           463.266 |          46.33 |         1:19:00 |     7     0     0   100 |
|       DUSK/USDT |         4 |           3.21 |          12.84 |           453.401 |          45.34 |         2:32:00 |     4     0     0   100 |
|        MLN/USDT |         7 |           1.24 |           8.66 |           406.375 |          40.64 |         6:28:00 |     7     0     0   100 |
|          W/USDT |         2 |           3.63 |           7.26 |           404.967 |          40.50 |         0:15:00 |     2     0     0   100 |
|        CRV/USDT |         1 |           3.84 |           3.84 |           404.267 |          40.43 |         0:05:00 |     1     0     0   100 |
|        ELF/USDT |         2 |           2.33 |           4.66 |           383.498 |          38.35 |         1:20:00 |     2     0     0   100 |
|      QUICK/USDT |         4 |           1.72 |           6.90 |           375.172 |          37.52 |         0:32:00 |     4     0     0   100 |
|          T/USDT |         2 |           2.11 |           4.23 |           371.395 |          37.14 |         2:32:00 |     2     0     0   100 |
|        ENA/USDT |         7 |           1.11 |           7.74 |           368.003 |          36.80 |         0:51:00 |     6     0     1  85.7 |
|        TKO/USDT |         4 |           1.01 |           4.03 |           366.622 |          36.66 |         0:35:00 |     4     0     0   100 |
|        TIA/USDT |         3 |           1.33 |           4.00 |           362.793 |          36.28 |         0:12:00 |     2     0     1  66.7 |
|        PYR/USDT |         1 |           4.60 |           4.60 |           355.477 |          35.55 |         0:20:00 |     1     0     0   100 |
|       KP3R/USDT |         6 |           1.06 |           6.34 |           355.443 |          35.54 |         1:52:00 |     6     0     0   100 |
|        ADX/USDT |         1 |           6.45 |           6.45 |           353.032 |          35.30 |         2:40:00 |     1     0     0   100 |
|         ZK/USDT |         2 |           2.19 |           4.37 |           352.406 |          35.24 |         0:18:00 |     2     0     0   100 |
|        SLP/USDT |         4 |           1.28 |           5.13 |           345.629 |          34.56 |         0:52:00 |     4     0     0   100 |
|       CTXC/USDT |         3 |          -1.26 |          -3.79 |           325.937 |          32.59 |         8:15:00 |     2     0     1  66.7 |
|     BANANA/USDT |         2 |           1.50 |           2.99 |           305.809 |          30.58 |         0:28:00 |     2     0     0   100 |
|     PORTAL/USDT |         2 |           1.45 |           2.89 |           280.720 |          28.07 |         0:55:00 |     2     0     0   100 |
|        MBL/USDT |         1 |           3.28 |           3.28 |           278.942 |          27.89 |        15:40:00 |     1     0     0   100 |
|        KMD/USDT |         4 |          -0.11 |          -0.45 |           277.452 |          27.75 |         2:56:00 |     3     0     1  75.0 |
|        SXP/USDT |         2 |           0.64 |           1.28 |           268.192 |          26.82 |         1:00:00 |     2     0     0   100 |
|        ARK/USDT |         3 |           0.93 |           2.79 |           262.126 |          26.21 |         0:35:00 |     3     0     0   100 |
|        PSG/USDT |         7 |          -1.28 |          -8.93 |           259.325 |          25.93 |         2:31:00 |     6     0     1  85.7 |
|        RAY/USDT |         7 |           1.30 |           9.09 |           257.135 |          25.71 |         1:11:00 |     7     0     0   100 |
|      STRAX/USDT |         3 |           1.14 |           3.41 |           254.827 |          25.48 |         1:15:00 |     3     0     0   100 |
|      CYBER/USDT |         1 |           1.85 |           1.85 |           253.308 |          25.33 |         0:20:00 |     1     0     0   100 |
|       FLUX/USDT |         2 |           1.11 |           2.22 |           253.059 |          25.31 |         1:40:00 |     2     0     0   100 |
|       PEPE/USDT |         7 |           2.28 |          15.95 |           247.822 |          24.78 |         0:23:00 |     7     0     0   100 |
|        ERN/USDT |         4 |           3.45 |          13.78 |           245.751 |          24.58 |         0:52:00 |     4     0     0   100 |
|       VTHO/USDT |         9 |           1.23 |          11.10 |           234.303 |          23.43 |         0:59:00 |     6     0     3  66.7 |
|        SOL/USDT |         1 |           2.35 |           2.35 |           232.859 |          23.29 |         0:25:00 |     1     0     0   100 |
|        ACA/USDT |         5 |           0.72 |           3.62 |           221.250 |          22.13 |         5:16:00 |     4     0     1  80.0 |
|      FLOKI/USDT |         8 |           1.26 |          10.07 |           217.170 |          21.72 |         0:40:00 |     7     0     1  87.5 |
|      FORTH/USDT |         6 |           0.30 |           1.81 |           210.252 |          21.03 |         1:05:00 |     5     0     1  83.3 |
|      ETHFI/USDT |         3 |           1.55 |           4.66 |           198.019 |          19.80 |         0:17:00 |     3     0     0   100 |
|      SPELL/USDT |         6 |           1.15 |           6.91 |           197.800 |          19.78 |         0:36:00 |     5     0     1  83.3 |
|        UMA/USDT |         7 |           2.93 |          20.49 |           196.766 |          19.68 |         1:03:00 |     7     0     0   100 |
|       CITY/USDT |         3 |           1.21 |           3.62 |           191.894 |          19.19 |         0:37:00 |     3     0     0   100 |
|        ACH/USDT |         1 |           2.41 |           2.41 |           191.582 |          19.16 |         0:10:00 |     1     0     0   100 |
|        CHR/USDT |         3 |           1.00 |           3.00 |           190.754 |          19.08 |         2:52:00 |     3     0     0   100 |
|        JUV/USDT |         1 |           3.20 |           3.20 |           190.412 |          19.04 |         0:15:00 |     1     0     0   100 |
|       BTTC/USDT |         3 |           1.98 |           5.94 |           184.257 |          18.43 |  1 day, 1:47:00 |     3     0     0   100 |
|       USTC/USDT |         7 |          -0.95 |          -6.66 |           183.697 |          18.37 |         3:24:00 |     6     0     1  85.7 |
|        UTK/USDT |         2 |           3.73 |           7.46 |           175.421 |          17.54 |         0:40:00 |     2     0     0   100 |
|        TRU/USDT |         2 |           1.39 |           2.78 |           164.250 |          16.42 |         0:38:00 |     2     0     0   100 |
|       HIGH/USDT |         2 |           0.87 |           1.74 |           161.219 |          16.12 |         1:02:00 |     2     0     0   100 |
|       GALA/USDT |         2 |           2.02 |           4.03 |           157.877 |          15.79 |         0:45:00 |     2     0     0   100 |
|     BURGER/USDT |         9 |           0.38 |           3.44 |           148.924 |          14.89 |         1:19:00 |     6     0     3  66.7 |
|        GTC/USDT |         3 |           1.50 |           4.50 |           138.272 |          13.83 |         1:23:00 |     3     0     0   100 |
|        GNS/USDT |         1 |           1.55 |           1.55 |           137.279 |          13.73 |         0:15:00 |     1     0     0   100 |
|      POLYX/USDT |         5 |           1.26 |           6.31 |           131.726 |          13.17 |         0:39:00 |     5     0     0   100 |
|       ARPA/USDT |         5 |          -0.63 |          -3.13 |           129.611 |          12.96 |         3:25:00 |     4     0     1  80.0 |
|         AI/USDT |         9 |           2.62 |          23.62 |           128.015 |          12.80 |         0:50:00 |     9     0     0   100 |
|    AUCTION/USDT |         1 |           1.79 |           1.79 |           127.546 |          12.75 |         0:15:00 |     1     0     0   100 |
|         AR/USDT |         2 |           2.50 |           5.01 |           126.018 |          12.60 |         2:40:00 |     2     0     0   100 |
|      LEVER/USDT |         2 |           1.33 |           2.66 |           125.942 |          12.59 |         4:28:00 |     2     0     0   100 |
|       ROSE/USDT |         1 |           1.29 |           1.29 |           124.414 |          12.44 |         0:20:00 |     1     0     0   100 |
|        ALT/USDT |         3 |           1.36 |           4.08 |           112.926 |          11.29 |         0:37:00 |     3     0     0   100 |
