Result for strategy E0V1E1
=============================================================== BACKTESTING REPORT ==============================================================
|            Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-----------------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|        FTT/USDT |         8 |           3.80 |          30.40 |           309.679 |          30.97 |        0:56:00 |     8     0     0   100 |
|       TROY/USDT |         6 |           3.57 |          21.42 |           272.304 |          27.23 |        1:04:00 |     3     0     3  50.0 |
|        SLF/USDT |         5 |           3.54 |          17.68 |           158.809 |          15.88 |        1:33:00 |     5     0     0   100 |
|     SANTOS/USDT |         3 |           3.79 |          11.38 |           149.308 |          14.93 |        0:15:00 |     3     0     0   100 |
|        AST/USDT |         5 |           3.12 |          15.59 |           137.033 |          13.70 |        0:34:00 |     4     0     1  80.0 |
|      CHESS/USDT |         5 |           2.01 |          10.07 |           111.949 |          11.19 |        0:25:00 |     5     0     0   100 |
|       BETA/USDT |         3 |           2.98 |           8.95 |            86.591 |           8.66 |        1:42:00 |     2     0     1  66.7 |
|        DIA/USDT |         3 |           2.43 |           7.29 |            85.484 |           8.55 |        0:53:00 |     3     0     0   100 |
|       RARE/USDT |        11 |           1.15 |          12.67 |            73.636 |           7.36 |        0:35:00 |    10     0     1  90.9 |
|       VITE/USDT |         5 |           2.10 |          10.48 |            70.639 |           7.06 |        0:24:00 |     5     0     0   100 |
|      VOXEL/USDT |         3 |           4.15 |          12.46 |            70.468 |           7.05 |        0:45:00 |     3     0     0   100 |
|     ALPINE/USDT |         3 |           1.99 |           5.96 |            60.040 |           6.00 |        1:47:00 |     3     0     0   100 |
|        SYS/USDT |         4 |           2.11 |           8.43 |            46.802 |           4.68 |        1:32:00 |     3     0     1  75.0 |
|        RAD/USDT |         3 |           1.21 |           3.62 |            46.385 |           4.64 |        0:32:00 |     2     0     1  66.7 |
|     ALPACA/USDT |         4 |           1.80 |           7.21 |            45.460 |           4.55 |        0:54:00 |     4     0     0   100 |
|        KDA/USDT |         1 |           5.61 |           5.61 |            44.047 |           4.40 |        0:40:00 |     1     0     0   100 |
|      NEIRO/USDT |         4 |           0.95 |           3.78 |            42.911 |           4.29 |        2:32:00 |     4     0     0   100 |
|      PORTO/USDT |         2 |           1.49 |           2.98 |            42.516 |           4.25 |        4:12:00 |     2     0     0   100 |
|        ENA/USDT |         1 |           3.93 |           3.93 |            42.335 |           4.23 |        0:15:00 |     1     0     0   100 |
|        PSG/USDT |         2 |           1.81 |           3.63 |            39.846 |           3.98 |        0:52:00 |     2     0     0   100 |
|        OAX/USDT |         1 |           3.52 |           3.52 |            39.326 |           3.93 |        0:25:00 |     1     0     0   100 |
|        APE/USDT |         2 |           1.61 |           3.22 |            38.182 |           3.82 |        1:05:00 |     2     0     0   100 |
|       FIDA/USDT |         3 |           1.28 |           3.83 |            38.069 |           3.81 |        1:33:00 |     2     0     1  66.7 |
|        GFT/USDT |         3 |           2.25 |           6.76 |            34.381 |           3.44 |        0:40:00 |     3     0     0   100 |
|      CREAM/USDT |         2 |           2.69 |           5.39 |            33.461 |           3.35 |        2:00:00 |     2     0     0   100 |
|       USTC/USDT |         4 |           0.78 |           3.12 |            33.136 |           3.31 |        1:24:00 |     4     0     0   100 |
|       STPT/USDT |         2 |           2.08 |           4.16 |            32.766 |           3.28 |        0:30:00 |     2     0     0   100 |
|        CTK/USDT |         1 |           2.71 |           2.71 |            32.762 |           3.28 |        0:20:00 |     1     0     0   100 |
|       IDEX/USDT |         5 |           0.93 |           4.64 |            31.834 |           3.18 |        0:38:00 |     4     0     1  80.0 |
|      ALICE/USDT |         1 |           5.23 |           5.23 |            30.331 |           3.03 |        0:05:00 |     1     0     0   100 |
|       HARD/USDT |        16 |           0.32 |           5.16 |            30.172 |           3.02 |        1:31:00 |    12     0     4  75.0 |
|       UNFI/USDT |         3 |           0.80 |           2.39 |            29.035 |           2.90 |        0:45:00 |     2     0     1  66.7 |
|       VIDT/USDT |         5 |           0.70 |           3.51 |            24.227 |           2.42 |        3:06:00 |     3     0     2  60.0 |
|       GHST/USDT |         1 |           2.46 |           2.46 |            23.986 |           2.40 |        0:25:00 |     1     0     0   100 |
|        SUN/USDT |         4 |           0.91 |           3.65 |            23.771 |           2.38 |        2:35:00 |     4     0     0   100 |
|        XAI/USDT |         1 |           2.06 |           2.06 |            23.540 |           2.35 |        0:15:00 |     1     0     0   100 |
|        ERN/USDT |         2 |           2.24 |           4.48 |            23.309 |           2.33 |        0:52:00 |     2     0     0   100 |
|       ARDR/USDT |         2 |           1.39 |           2.77 |            23.132 |           2.31 |        4:15:00 |     2     0     0   100 |
|       DODO/USDT |         2 |           1.41 |           2.82 |            22.706 |           2.27 |        0:25:00 |     2     0     0   100 |
|     BURGER/USDT |         2 |           1.51 |           3.03 |            20.901 |           2.09 |        0:32:00 |     2     0     0   100 |
|          T/USDT |         1 |           3.57 |           3.57 |            19.014 |           1.90 |        0:50:00 |     1     0     0   100 |
|        AMB/USDT |         2 |           1.69 |           3.39 |            18.047 |           1.80 |        0:35:00 |     2     0     0   100 |
|        TIA/USDT |         1 |           1.56 |           1.56 |            17.840 |           1.78 |        0:20:00 |     1     0     0   100 |
|       MBOX/USDT |         1 |           2.88 |           2.88 |            17.446 |           1.74 |        0:20:00 |     1     0     0   100 |
|       ARPA/USDT |         1 |           1.27 |           1.27 |            15.054 |           1.51 |        0:40:00 |     1     0     0   100 |
|     BANANA/USDT |         1 |           2.80 |           2.80 |            14.823 |           1.48 |        0:10:00 |     1     0     0   100 |
|        BSW/USDT |         2 |           1.04 |           2.08 |            14.351 |           1.44 |        0:20:00 |     2     0     0   100 |
|       FLUX/USDT |         2 |           1.11 |           2.22 |            13.418 |           1.34 |        1:40:00 |     2     0     0   100 |
|      CYBER/USDT |         1 |           1.85 |           1.85 |            12.973 |           1.30 |        0:20:00 |     1     0     0   100 |
|        SNT/USDT |         1 |           1.59 |           1.59 |            12.103 |           1.21 |        0:15:00 |     1     0     0   100 |
|        SOL/USDT |         1 |           2.35 |           2.35 |            12.022 |           1.20 |        0:25:00 |     1     0     0   100 |
|        GLM/USDT |         1 |           2.11 |           2.11 |            11.434 |           1.14 |        0:40:00 |     1     0     0   100 |
|        TKO/USDT |         1 |           1.44 |           1.44 |            11.275 |           1.13 |        0:35:00 |     1     0     0   100 |
|        AMP/USDT |         2 |           0.97 |           1.93 |            10.849 |           1.08 |        0:40:00 |     2     0     0   100 |
|       BONK/USDT |         1 |           0.97 |           0.97 |            10.470 |           1.05 |        0:15:00 |     1     0     0   100 |
|        ARK/USDT |         2 |           0.58 |           1.16 |             9.947 |           0.99 |        0:40:00 |     2     0     0   100 |
|        RSR/USDT |         1 |           1.43 |           1.43 |             9.780 |           0.98 |        0:15:00 |     1     0     0   100 |
|        REI/USDT |         2 |           0.84 |           1.67 |             9.742 |           0.97 |        1:12:00 |     2     0     0   100 |
|       OOKI/USDT |         4 |           0.25 |           1.00 |             9.556 |           0.96 |        3:30:00 |     3     0     1  75.0 |
|         IQ/USDT |         1 |           1.82 |           1.82 |             9.143 |           0.91 |        0:20:00 |     1     0     0   100 |
|        SXP/USDT |         1 |           1.04 |           1.04 |             8.412 |           0.84 |        1:20:00 |     1     0     0   100 |
|       SAGA/USDT |         1 |           1.05 |           1.05 |             8.027 |           0.80 |        0:15:00 |     1     0     0   100 |
|         BB/USDT |         1 |           1.39 |           1.39 |             7.938 |           0.79 |        0:25:00 |     1     0     0   100 |
|       BTTC/USDT |         1 |           1.34 |           1.34 |             6.909 |           0.69 |        0:30:00 |     1     0     0   100 |
|        NOT/USDT |         1 |           0.95 |           0.95 |             6.800 |           0.68 |        0:50:00 |     1     0     0   100 |
|       BOME/USDT |         1 |           0.61 |           0.61 |             6.778 |           0.68 |        0:25:00 |     1     0     0   100 |
|        COS/USDT |         1 |           0.88 |           0.88 |             5.254 |           0.53 |        1:00:00 |     1     0     0   100 |
|        QKC/USDT |         1 |           0.98 |           0.98 |             5.194 |           0.52 |        1:35:00 |     1     0     0   100 |
|       PERP/USDT |         1 |           0.42 |           0.42 |             5.022 |           0.50 |        0:30:00 |     1     0     0   100 |
| 1MBABYDOGE/USDT |         2 |           0.24 |           0.48 |             4.601 |           0.46 |        0:25:00 |     2     0     0   100 |
|       SCRT/USDT |         1 |           0.87 |           0.87 |             4.330 |           0.43 |        0:10:00 |     1     0     0   100 |
|        ATM/USDT |         1 |           0.33 |           0.33 |             3.234 |           0.32 |        1:15:00 |     1     0     0   100 |
|         IO/USDT |         1 |           0.50 |           0.50 |             3.167 |           0.32 |        0:25:00 |     1     0     0   100 |
|          G/USDT |         1 |           0.51 |           0.51 |             2.754 |           0.28 |        0:35:00 |     1     0     0   100 |
|        UMA/USDT |         1 |           0.16 |           0.16 |             1.804 |           0.18 |        2:15:00 |     1     0     0   100 |
|      STRAX/USDT |         1 |           0.27 |           0.27 |             1.396 |           0.14 |        2:30:00 |     1     0     0   100 |
|        RVN/USDT |         1 |           0.10 |           0.10 |             1.345 |           0.13 |        0:50:00 |     1     0     0   100 |
|        DGB/USDT |         1 |           0.20 |           0.20 |             1.094 |           0.11 |        0:25:00 |     1     0     0   100 |
|       DATA/USDT |         1 |           0.11 |           0.11 |             0.994 |           0.10 |        1:00:00 |     1     0     0   100 |
|      PIXEL/USDT |         3 |          -0.63 |          -1.89 |             0.185 |           0.02 |        1:37:00 |     2     0     1  66.7 |
|       IOST/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        BNT/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        LSK/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      POLYX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        PHB/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       EGLD/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|         QI/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       CTXC/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        AXS/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        WOO/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       NEXO/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        KEY/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        EDU/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       VTHO/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        MTL/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        CRV/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        ZIL/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       AAVE/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        ATA/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       HIVE/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     BADGER/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       LQTY/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        LTO/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        BAL/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       API3/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        ZEN/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        UFT/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        XNO/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|         DF/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        KSM/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       AKRO/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        JUV/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        LIT/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     PEOPLE/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      MAGIC/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        CHR/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       LINA/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        RIF/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        ONT/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        CFX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        VIB/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        ACH/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       COMP/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       IOTA/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       BAKE/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       MASK/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|     PENDLE/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      STEEM/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        IMX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        UTK/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        REN/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       IRIS/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|       FLOW/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        LDO/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|      LEVER/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
|        GMX/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |           0:00 |     0     0     0     0 |
