Result for strategy BinHV27_short
============================================================ BACKTESTING REPORT ============================================================
|          Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|---------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|      ZEC/USDT |     14 |           4.71 |          65.96 |          1713.163 |         171.32 |        3:32:00 |    12     0     2  85.7 |
|      ZIL/USDT |     18 |           1.29 |          23.21 |          1069.232 |         106.92 |        3:36:00 |    10     0     8  55.6 |
|      ZEN/USDT |     12 |           3.99 |          47.89 |           953.250 |          95.32 |        4:23:00 |     9     0     3  75.0 |
| 1000SHIB/USDT |     12 |           6.66 |          79.87 |           943.572 |          94.36 |        2:58:00 |    10     0     2  83.3 |
|     COTI/USDT |      4 |           5.63 |          22.51 |           899.283 |          89.93 |        5:12:00 |     3     0     1  75.0 |
|      FTM/USDT |     11 |           5.45 |          59.94 |           894.132 |          89.41 |        4:24:00 |    10     0     1  90.9 |
|      MTL/USDT |     15 |           2.79 |          41.89 |           829.203 |          82.92 |        4:15:00 |    10     0     5  66.7 |
|      SXP/USDT |      9 |           4.32 |          38.86 |           815.800 |          81.58 |        5:35:00 |     7     0     2  77.8 |
|     GALA/USDT |      7 |           4.69 |          32.84 |           696.157 |          69.62 |        3:11:00 |     6     0     1  85.7 |
|    OCEAN/USDT |      6 |           3.64 |          21.85 |           653.361 |          65.34 |        4:24:00 |     4     0     2  66.7 |
|      SKL/USDT |      5 |           3.80 |          19.02 |           632.514 |          63.25 |        3:23:00 |     3     0     2  60.0 |
|     CELR/USDT |      6 |           4.74 |          28.45 |           604.893 |          60.49 |        7:43:00 |     5     0     1  83.3 |
|      NEO/USDT |      6 |           3.53 |          21.16 |           603.470 |          60.35 |        3:04:00 |     4     0     2  66.7 |
|     AVAX/USDT |      9 |           4.60 |          41.38 |           580.721 |          58.07 |        3:48:00 |     8     0     1  88.9 |
|      DOT/USDT |      4 |           6.44 |          25.77 |           541.021 |          54.10 |        5:12:00 |     3     0     1  75.0 |
|      XMR/USDT |     10 |           0.33 |           3.28 |           511.195 |          51.12 |        6:56:00 |     6     0     4  60.0 |
|      HNT/USDT |     13 |           3.35 |          43.53 |           508.310 |          50.83 |        4:37:00 |     9     0     4  69.2 |
|      XTZ/USDT |      5 |           3.16 |          15.81 |           495.516 |          49.55 |        3:48:00 |     3     0     2  60.0 |
|     TOMO/USDT |      3 |           5.97 |          17.92 |           475.343 |          47.53 |        1:37:00 |     3     0     0   100 |
|    THETA/USDT |      8 |           3.66 |          29.29 |           474.106 |          47.41 |        3:08:00 |     7     0     1  87.5 |
|      CRV/USDT |      6 |           5.00 |          30.00 |           456.180 |          45.62 |        3:47:00 |     5     0     1  83.3 |
|      BLZ/USDT |      3 |           6.70 |          20.10 |           445.324 |          44.53 |        1:25:00 |     3     0     0   100 |
|      RVN/USDT |      2 |           8.00 |          16.00 |           433.518 |          43.35 |       10:02:00 |     2     0     0   100 |
|      YFI/USDT |      7 |           6.17 |          43.22 |           420.848 |          42.08 |        8:00:00 |     5     0     2  71.4 |
|     AKRO/USDT |      8 |           1.07 |           8.57 |           396.570 |          39.66 |        4:25:00 |     5     0     3  62.5 |
|      ZRX/USDT |      8 |           0.05 |           0.37 |           394.343 |          39.43 |        5:44:00 |     4     0     4  50.0 |
|     RUNE/USDT |      7 |           2.87 |          20.08 |           385.305 |          38.53 |        2:08:00 |     5     0     2  71.4 |
