
Result for strategy BBMod
============================================================ BACKTESTING REPORT ============================================================
|          Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|---------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|     UNFI/USDT |     52 |           1.44 |          75.06 |          3073.073 |        5121.79 |        0:47:00 |    39     1    12  75.0 |
|   PEOPLE/USDT |     89 |           2.45 |         218.35 |          2616.498 |        4360.83 |        0:45:00 |    68     6    15  76.4 |
|      OGN/USDT |     66 |           1.62 |         106.62 |          1669.784 |        2782.97 |        1:03:00 |    47     6    13  71.2 |
|      SNX/USDT |     44 |           1.23 |          53.99 |          1640.287 |        2733.81 |        1:16:00 |    30     6     8  68.2 |
|      LIT/USDT |     38 |           1.59 |          60.50 |          1475.042 |        2458.40 |        0:43:00 |    26     4     8  68.4 |
|      ETC/USDT |     29 |           0.17 |           5.05 |          1367.945 |        2279.91 |        1:22:00 |    19     4     6  65.5 |
|    MATIC/USDT |     33 |           1.40 |          46.27 |          1359.187 |        2265.31 |        1:38:00 |    24     4     5  72.7 |
|      BLZ/USDT |     38 |           2.43 |          92.44 |          1326.310 |        2210.52 |        0:56:00 |    30     3     5  78.9 |
|     API3/USDT |     52 |           1.49 |          77.58 |          1118.895 |        1864.82 |        0:48:00 |    40     3     9  76.9 |
|      BTS/USDT |      9 |           3.43 |          30.86 |          1083.430 |        1805.72 |        1:04:00 |     8     1     0   100 |
|      ANT/USDT |     38 |           1.32 |          50.17 |          1078.839 |        1798.06 |        1:11:00 |    28     3     7  73.7 |
|    1INCH/USDT |     15 |           2.15 |          32.21 |           999.666 |        1666.11 |        1:07:00 |    12     2     1  80.0 |
|       AR/USDT |     29 |           0.57 |          16.46 |           960.613 |        1601.02 |        1:01:00 |    20     4     5  69.0 |
|     DYDX/USDT |     40 |           0.99 |          39.56 |           959.650 |        1599.42 |        1:21:00 |    28     6     6  70.0 |
|     IOTX/USDT |     28 |           2.14 |          59.80 |           933.609 |        1556.01 |        1:35:00 |    23     2     3  82.1 |
|      MTL/USDT |     57 |           0.84 |          47.62 |           888.343 |        1480.57 |        1:27:00 |    41     7     9  71.9 |
|     MASK/USDT |     26 |           2.16 |          56.10 |           829.636 |        1382.73 |        0:59:00 |    21     1     4  80.8 |
|      IMX/USDT |     43 |           0.93 |          39.99 |           789.002 |        1315.00 |        1:02:00 |    28     7     8  65.1 |
|      CRV/USDT |     33 |           1.77 |          58.52 |           760.687 |        1267.81 |        1:16:00 |    24     5     4  72.7 |
|      BAL/USDT |     20 |           1.29 |          25.83 |           741.792 |        1236.32 |        1:18:00 |    14     4     2  70.0 |
|      GTC/USDT |     51 |           2.04 |         103.88 |           729.747 |        1216.24 |        0:48:00 |    36     7     8  70.6 |
|      NKN/USDT |     32 |           0.39 |          12.50 |           686.512 |        1144.19 |        1:15:00 |    20     5     7  62.5 |
|     COTI/USDT |     40 |           1.83 |          73.22 |           668.654 |        1114.42 |        1:08:00 |    28     9     3  70.0 |
|      ONE/USDT |     20 |           2.04 |          40.75 |           601.022 |        1001.70 |        1:14:00 |    14     5     1  70.0 |
|      RSR/USDT |     55 |           0.18 |           9.64 |           601.000 |        1001.67 |        1:30:00 |    37     4    14  67.3 |
|      YFI/USDT |     18 |           0.40 |           7.16 |           587.192 |         978.65 |        0:47:00 |    12     1     5  66.7 |
|      CTK/USDT |     26 |           1.73 |          44.99 |           577.169 |         961.95 |        1:36:00 |    19     1     6  73.1 |
|      C98/USDT |     25 |           1.67 |          41.77 |           569.625 |         949.38 |        1:22:00 |    19     4     2  76.0 |
|     BAKE/USDT |     31 |           1.76 |          54.66 |           555.522 |         925.87 |        1:07:00 |    21     6     4  67.7 |
|      SXP/USDT |     15 |           2.23 |          33.45 |           524.309 |         873.85 |        1:26:00 |    12     1     2  80.0 |
| 1000SHIB/USDT |     24 |           0.67 |          16.11 |           521.333 |         868.89 |        1:32:00 |    13     5     6  54.2 |
|      MKR/USDT |     30 |           1.40 |          42.00 |           503.390 |         838.98 |        1:01:00 |    20     4     6  66.7 |
|     ATOM/USDT |     32 |           1.91 |          61.15 |           477.438 |         795.73 |        1:21:00 |    26     3     3  81.2 |
|      GRT/USDT |     26 |           1.62 |          42.13 |           473.982 |         789.97 |        1:22:00 |    19     3     4  73.1 |
|      BNX/USDT |     19 |           3.33 |          63.32 |           457.672 |         762.79 |        1:06:00 |    14     5     0   100 |
|      RLC/USDT |     25 |           0.45 |          11.18 |           441.236 |         735.39 |        1:15:00 |    18     0     7  72.0 |
|     TOMO/USDT |     24 |          -0.71 |         -17.04 |           389.333 |         648.89 |        1:23:00 |    12     5     7  50.0 |
|      AXS/USDT |     24 |           2.55 |          61.30 |           387.390 |         645.65 |        1:12:00 |    22     0     2  91.7 |
|      DGB/USDT |      8 |           1.09 |           8.71 |           385.985 |         643.31 |        1:21:00 |     6     1     1  75.0 |
|      WOO/USDT |     18 |           0.50 |           9.08 |           346.200 |         577.00 |        1:18:00 |    12     2     4  66.7 |
|      CHZ/USDT |     24 |           0.99 |          23.81 |           333.989 |         556.65 |        2:03:00 |    14     6     4  58.3 |
|    WAVES/USDT |     69 |           1.34 |          92.49 |           332.429 |         554.05 |        1:01:00 |    47    11    11  68.1 |
