Result for strategy E0V1E320
=============================================================== BACKTESTING REPORT ===============================================================
|            Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|-----------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|        RED/USDT |        19 |           4.61 |          87.61 |        182968.611 |       18296.86 |         1:32:00 |    14     0     5  73.7 |
|        VIC/USDT |        18 |           0.30 |           5.40 |         87892.015 |        8789.20 |         2:28:00 |    13     0     5  72.2 |
|        REZ/USDT |        11 |           3.23 |          35.51 |         70205.790 |        7020.58 |         1:15:00 |     9     0     2  81.8 |
|       RARE/USDT |        22 |           2.53 |          55.76 |         60973.993 |        6097.40 |         1:22:00 |    17     0     5  77.3 |
|       API3/USDT |         5 |           2.50 |          12.50 |         46278.275 |        4627.83 |         0:51:00 |     5     0     0   100 |
|       BETA/USDT |        24 |           1.20 |          28.90 |         34956.990 |        3495.70 |         1:09:00 |    19     0     5  79.2 |
|       VTHO/USDT |        12 |           2.20 |          26.37 |         27933.537 |        2793.35 |         1:38:00 |     9     0     3  75.0 |
|      KAITO/USDT |         7 |           2.35 |          16.45 |         26311.928 |        2631.19 |         1:29:00 |     6     0     1  85.7 |
|       HIVE/USDT |        14 |           2.97 |          41.52 |         26122.643 |        2612.26 |         1:27:00 |    12     0     2  85.7 |
|        PHA/USDT |        21 |           2.14 |          44.97 |         25468.772 |        2546.88 |         1:45:00 |    16     0     5  76.2 |
|     BANANA/USDT |         2 |           5.72 |          11.44 |         23948.906 |        2394.89 |         0:28:00 |     2     0     0   100 |
|        ACH/USDT |         9 |           2.44 |          21.94 |         23505.601 |        2350.56 |         0:27:00 |     7     0     2  77.8 |
|     ALPACA/USDT |        10 |           3.61 |          36.11 |         23140.738 |        2314.07 |         1:11:00 |     8     0     2  80.0 |
|         DF/USDT |        15 |           2.44 |          36.60 |         22949.767 |        2294.98 |         1:29:00 |    13     0     2  86.7 |
|       ARKM/USDT |         3 |           2.36 |           7.08 |         20672.695 |        2067.27 |         0:40:00 |     3     0     0   100 |
|      TRUMP/USDT |        11 |           1.49 |          16.39 |         19149.010 |        1914.90 |         0:47:00 |     9     0     2  81.8 |
|        PDA/USDT |        19 |           2.06 |          39.17 |         19144.542 |        1914.45 |         0:36:00 |    15     0     4  78.9 |
