Result for strategy E0V1E
=============================================================== BACKTESTING REPORT ==============================================================
|          Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|---------------+-----------+----------------+----------------+-------------------+----------------+------------------+-------------------------|
|      MLN/USDT |         6 |           4.35 |          26.09 |          1418.350 |         141.83 |          1:17:00 |     5     0     1  83.3 |
|     MOVR/USDT |         5 |           4.53 |          22.63 |           986.081 |          98.61 |          0:42:00 |     5     0     0   100 |
|      AMP/USDT |         6 |           3.28 |          19.66 |           592.571 |          59.26 |          0:39:00 |     6     0     0   100 |
|     BAKE/USDT |         2 |           7.57 |          15.13 |           517.074 |          51.71 |          0:22:00 |     2     0     0   100 |
|     BTTC/USDT |         2 |           6.69 |          13.37 |           476.251 |          47.63 |          0:18:00 |     2     0     0   100 |
|      FUN/USDT |         6 |           2.55 |          15.30 |           475.009 |          47.50 |          0:48:00 |     6     0     0   100 |
|      WRX/USDT |         9 |           3.55 |          31.97 |           457.637 |          45.76 |          1:12:00 |     7     0     2  77.8 |
|     DEXE/USDT |         7 |           3.34 |          23.40 |           418.337 |          41.83 |          0:55:00 |     7     0     0   100 |
|     ASTR/USDT |         1 |           9.22 |           9.22 |           403.182 |          40.32 |          0:55:00 |     1     0     0   100 |
|      RAY/USDT |         7 |           2.23 |          15.64 |           377.473 |          37.75 |          0:37:00 |     6     0     1  85.7 |
|     FARM/USDT |         3 |           3.06 |           9.19 |           374.281 |          37.43 |          0:30:00 |     3     0     0   100 |
|      FTT/USDT |         4 |           4.22 |          16.89 |           358.273 |          35.83 |          0:30:00 |     4     0     0   100 |
|       OG/USDT |         5 |           3.39 |          16.97 |           313.205 |          31.32 |          0:28:00 |     5     0     0   100 |
|      BSW/USDT |         5 |           0.99 |           4.93 |           299.126 |          29.91 |          0:55:00 |     3     0     2  60.0 |
|      OAX/USDT |         8 |           2.56 |          20.48 |           287.104 |          28.71 |          3:51:00 |     7     0     1  87.5 |
|     PERP/USDT |         3 |           4.07 |          12.20 |           277.769 |          27.78 |          0:37:00 |     3     0     0   100 |
|      JTO/USDT |         1 |           7.30 |           7.30 |           267.652 |          26.77 |          0:20:00 |     1     0     0   100 |
|      ACA/USDT |         7 |           2.00 |          13.98 |           235.595 |          23.56 |          0:54:00 |     7     0     0   100 |
|    FORTH/USDT |         6 |           1.41 |           8.45 |           234.795 |          23.48 |          0:47:00 |     6     0     0   100 |
|     USTC/USDT |         5 |           1.80 |           9.01 |           217.079 |          21.71 |          1:02:00 |     5     0     0   100 |
|      CLV/USDT |         3 |           1.83 |           5.50 |           205.818 |          20.58 |          0:48:00 |     3     0     0   100 |
|      AST/USDT |         4 |           2.61 |          10.43 |           195.124 |          19.51 |          2:38:00 |     3     0     1  75.0 |
|     ALCX/USDT |         2 |           2.55 |           5.10 |           193.395 |          19.34 |          0:38:00 |     2     0     0   100 |
|      JUV/USDT |         2 |           3.80 |           7.60 |           192.361 |          19.24 |          0:20:00 |     2     0     0   100 |
|      PNT/USDT |         6 |           1.67 |          10.00 |           191.795 |          19.18 |          0:25:00 |     6     0     0   100 |
|      XNO/USDT |         2 |           4.71 |           9.42 |           186.504 |          18.65 |          0:12:00 |     2     0     0   100 |
|       QI/USDT |         3 |           2.17 |           6.52 |           179.346 |          17.93 |          1:28:00 |     2     0     1  66.7 |
|     VTHO/USDT |         7 |           1.37 |           9.62 |           169.495 |          16.95 |          2:18:00 |     6     0     1  85.7 |
|      MDX/USDT |         1 |           3.66 |           3.66 |           157.837 |          15.78 |          0:35:00 |     1     0     0   100 |
|     OSMO/USDT |         3 |           0.31 |           0.92 |           157.210 |          15.72 |          2:12:00 |     2     0     1  66.7 |
|     POND/USDT |         2 |           2.77 |           5.55 |           152.348 |          15.23 |          0:38:00 |     2     0     0   100 |
|     MBOX/USDT |         2 |           1.12 |           2.24 |           130.612 |          13.06 |          1:10:00 |     1     0     1  50.0 |
|     BOND/USDT |         4 |           2.13 |           8.52 |           126.840 |          12.68 |          1:18:00 |     3     0     1  75.0 |
|    MULTI/USDT |         6 |           1.48 |           8.89 |           122.912 |          12.29 |          1:27:00 |     6     0     0   100 |
|      XVG/USDT |         7 |           3.01 |          21.07 |           119.274 |          11.93 |          0:41:00 |     7     0     0   100 |
|     MEME/USDT |         1 |           5.08 |           5.08 |           116.285 |          11.63 |          0:40:00 |     1     0     0   100 |
| 1000SATS/USDT |         1 |           2.59 |           2.59 |           115.193 |          11.52 |          0:30:00 |     1     0     0   100 |
|      GNS/USDT |         2 |           2.85 |           5.70 |           110.255 |          11.03 |          3:00:00 |     1     0     1  50.0 |
|      GAS/USDT |         4 |           1.41 |           5.63 |           109.886 |          10.99 |          0:21:00 |     4     0     0   100 |
|    CREAM/USDT |         4 |           1.20 |           4.78 |           105.109 |          10.51 |          1:41:00 |     3     0     1  75.0 |
