Result for strategy BBMod
============================================================ BACKTESTING REPORT ============================================================
|          Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|---------------+--------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|     GARI/USDT |     21 |           1.97 |          41.30 |        100056.110 |       10005.61 |        1:12:00 |    19     0     2  90.5 |
|      SPA/USDT |     19 |           3.24 |          61.54 |         69361.250 |        6936.12 |        1:41:00 |    19     0     0   100 |
|     TAUR/USDT |     79 |           1.47 |         116.50 |         68067.163 |        6806.72 |        1:21:00 |    63     0    16  79.7 |
|    LOOKS/USDT |     36 |           1.73 |          62.33 |         62239.623 |        6223.96 |        1:24:00 |    27     0     9  75.0 |
|    ROUTE/USDT |     25 |           1.88 |          47.08 |         58561.808 |        5856.18 |        2:03:00 |    18     0     7  72.0 |
|     CRPT/USDT |     23 |           0.73 |          16.74 |         57320.357 |        5732.04 |        1:51:00 |    15     0     8  65.2 |
|     MTRG/USDT |     14 |           1.52 |          21.21 |         52091.859 |        5209.19 |        1:43:00 |     9     0     5  64.3 |
|    KISHU/USDT |     25 |           3.04 |          75.88 |         50900.364 |        5090.04 |        1:09:00 |    22     0     3  88.0 |
|      SLP/USDT |     18 |           1.62 |          29.19 |         47201.989 |        4720.20 |        1:26:00 |    14     0     4  77.8 |
|     POKT/USDT |     16 |           0.40 |           6.36 |         46678.056 |        4667.81 |        2:05:00 |    11     0     5  68.8 |
|  SAITAMA/USDT |     58 |           1.19 |          68.82 |         42672.409 |        4267.24 |        0:48:00 |    49     0     9  84.5 |
|      OPA/USDT |     64 |           1.34 |          85.61 |         42192.990 |        4219.30 |        1:16:00 |    49     0    15  76.6 |
|      VRT/USDT |     25 |           2.04 |          51.04 |         40093.868 |        4009.39 |        1:52:00 |    22     0     3  88.0 |
|     BLIN/USDT |     65 |           2.62 |         170.48 |         40083.547 |        4008.35 |        1:05:00 |    54     0    11  83.1 |
|      FEG/USDT |     26 |           2.18 |          56.61 |         39142.760 |        3914.28 |        1:16:00 |    21     0     5  80.8 |
